Outstanding universal value is used in 16 terms.
| Term                                                                            | Uses                        |
|:--------------------------------------------------------------------------------|:----------------------------|
| Action Plan for the Future                                                      | Outstanding universal value |
| Outstanding universal value                                                     | Outstanding universal value |
| Convention concerning the protection of the world cultural and natural heritage | Outstanding universal value |
| World Heritage Committee                                                        | Outstanding universal value |
| Cultural landscapes                                                             | Outstanding universal value |
| Global Strategy                                                                 | Outstanding universal value |
| Tentative list                                                                  | Outstanding universal value |
| Canal                                                                           | Outstanding universal value |
| Mixed property                                                                  | Outstanding universal value |
| World Heritage List                                                             | Outstanding universal value |
| Natural heritage                                                                | Outstanding universal value |
| Spirit of the Convention                                                        | Outstanding universal value |
| Cultural heritage                                                               | Outstanding universal value |
| World Heritage                                                                  | Outstanding universal value |
| Thematic studies                                                                | Outstanding universal value |
| World Heritage value                                                            | Outstanding universal value |
