| Term                                                                                                     |   Uses |
|:---------------------------------------------------------------------------------------------------------|-------:|
| Integrity                                                                                                |     31 |
| Authenticity                                                                                             |     27 |
| Conservation                                                                                             |     27 |
| International assistance                                                                                 |     26 |
| Evaluation                                                                                               |     26 |
| Balance                                                                                                  |     24 |
| Advisory bodies                                                                                          |     22 |
| Criteria                                                                                                 |     21 |
| Reactive monitoring                                                                                      |     20 |
| World Heritage Committee                                                                                 |     20 |
| Tentative list                                                                                           |     20 |
| Operational Guidelines for the Implementation of the World Heritage Convention                           |     19 |
| Convention concerning the protection of the world cultural and natural heritage                          |     18 |
| Cultural heritage criteria                                                                               |     18 |
| Justification                                                                                            |     18 |
| Outstanding universal value                                                                              |     18 |
| Identification                                                                                           |     18 |
| State of conservation                                                                                    |     17 |
| Cultural landscapes                                                                                      |     17 |
| IUCN evaluation                                                                                          |     17 |
| Comparative evaluations                                                                                  |     17 |
| Protection                                                                                               |     17 |
| List of World Heritage in Danger                                                                         |     16 |
| Global Strategy                                                                                          |     15 |
| Deferred                                                                                                 |     15 |
| IUCN - The World Conservation Union                                                                      |     15 |
| Corrective measures                                                                                      |     14 |
| Technical co-operation                                                                                   |     14 |
| Training                                                                                                 |     14 |
| Inventory of property                                                                                    |     14 |
| Presentation                                                                                             |     14 |
| Biogeographic(al) provinces                                                                              |     14 |
| Action Plan for the Future                                                                               |     13 |
| Emergency assistance                                                                                     |     13 |
| World Heritage Fund                                                                                      |     13 |
| Associative cultural landscape                                                                           |     13 |
| Natural area                                                                                             |     13 |
| Joint nomination                                                                                         |     13 |
| Groups of urban buildings                                                                                |     13 |
| Systematic monitoring and reporting                                                                      |     13 |
| Rehabilitation                                                                                           |     13 |
| Management plan                                                                                          |     13 |
| World Heritage                                                                                           |     13 |
| Promotional activities                                                                                   |     12 |
| ICOMOS evaluation                                                                                        |     12 |
| International Centre for the Study of the Preservation and Restoration of Cultural Property (Rome Centre |     12 |
| World Heritage List                                                                                      |     12 |
| Delisting                                                                                                |     12 |
| National protection                                                                                      |     12 |
| Transmission                                                                                             |     12 |
| Natural heritage criteria                                                                                |     12 |
| Cultural property                                                                                        |     11 |
| Buffer zone                                                                                              |     11 |
| Secretariat                                                                                              |     11 |
| Inhabited historic towns                                                                                 |     11 |
| Mixed property                                                                                           |     11 |
| Nomination form                                                                                          |     11 |
| Mixed site                                                                                               |     11 |
| Comparative assessments                                                                                  |     11 |
| Natural heritage                                                                                         |     11 |
| Renomination                                                                                             |     11 |
| Deletion                                                                                                 |     11 |
| International protection                                                                                 |     10 |
| Preparatory assistance                                                                                   |     10 |
| Organically evolved landscape                                                                            |     10 |
| Data sheets                                                                                              |     10 |
| World Conservation Monitoring Centre                                                                     |     10 |
| CNPPA                                                                                                    |     10 |
| Harmonization                                                                                            |     10 |
| Movable property                                                                                         |     10 |
| World Heritage emblem                                                                                    |     10 |
| Nomination                                                                                               |     10 |
| Property                                                                                                 |     10 |
| Young People's Participation in World Heritage Preservation and Promotion                                |      9 |
| International Council of Monuments and Sites                                                             |      9 |
| Preservation                                                                                             |      9 |
| Spirit of the Convention                                                                                 |      9 |
| Thematic studies                                                                                         |      9 |
| Serial property                                                                                          |      9 |
| Series                                                                                                   |      9 |
| Rules of Procedure                                                                                       |      8 |
| Identification number                                                                                    |      8 |
