Definiendum,Short Definiendum,Definiens
Action Plan for the Future,Action Plan,"The Action Plan for the Future (Cultural Landscapes)
        was prepared by the UNESCO ""Expert Meeting on
        Cultural Landscapes of Outstanding Universal Value"" held in
        Templin, Germany in October 1993 (see von Droste et al
        1995: Annex 1).  The Action Plan outlines
        recommendations concerning the provision of ""Guidance to
        States Parties on the Identification, Assessment, Nomination
        and Management of Cultural Landscapes for Inclusion in the
        World Heritage List"" and on the preparation of a ""Thematic
        Study on Cultural Landscapes"".  The Action Plan was
        adopted by the World Heritage Committee at its
        seventeenth session in 1993 (UNESCO 4 February 1994:
        55-56 and Annex VII).

see Cultural landscapes"
Advisory bodies,Advisory bodies,"Article 8(3) of the World Heritage Convention
        establishes the International Centre for the Study of
        the Preservation and Restoration of Cultural Property (Rome
        Centre), now known as ICCROM, the International
        Council of Monuments and Sites (ICOMOS) and the
        International Union for the Conservation of Nature and
        Natural Resources (IUCN), now known as the
        World Conservation Union as advisory bodies to
        the World Heritage Committee.
        
        The Operational Guidelines outline the various rôles
        of the advisory bodies in relation to the
        implementation of the Convention (UNESCO
        February 1996).
        
        The advisory bodies are also referred to as
        advisory organisations in the Operational
        Guidelines (UNESCO February 1996: Paragraphs 49, 50 and
        84).

see IUCN, ICOMOS and ICCROM"
Assistance,Assistance,"see International assistance, Preparatory
assistance, Emergency assistance, Technical co-
operation, Training"
Associative cultural landscape,Associative cultural landscape,"Associative cultural landscape is one of the
        three main categories of cultural landscapes adopted
        by the World Heritage Committee at its sixteenth
        session in December 1992 (UNESCO 14 December 1992: 54-55) and
        included in the Operational Guidelines (UNESCO
        February 1996: 11, Paragraph 39).
        
        Paragraph 39 (iii) of the Operational Guidelines
        refers to associative cultural landscapes in the
        following way:
                
                39.
                
                (iii) The final category is the associative cultural
                      landscape.  The inclusion of such landscapes on 
                      the World Heritage List is justifiable by virtue 
                      of the powerful religious, artistic or cultural 
                      associations of the natural element rather than 
                      material cultural evidence, which may be insignificant 
                      or even absent(UNESCO February 1996: 11, Paragraph 39).

        Tongariro National Park in New Zealand and Uluru-Kata
        Tjuta National Park in Australia were included in the
        World Heritage List as associative cultural
        landscapes in 1993 and 1994 respectively (UNESCO 4
        February 1994: 39 and UNESCO 31 January 1995: 52).

        In April 1995 Australia ICOMOS held an ""Asia-Pacific Regional
        Workshop on Associative Cultural Landscapes"" (von Droste
        et al 1995: Annex VI).

see Clearly defined landscape, Continuing
landscape, Cultural landscape, Organically evolved
landscape, Relict (or fossil) landscape"
Authenticity,Authenticity,"Paragraph 24 of the Operational Guidelines requires
        that a cultural property nominated for inclusion in
        the World Heritage List be considered for inclusion
        only if it meets one or more of the cultural heritage
        criteria and the test of authenticity.
        
        Paragraph 24 (b) (i) of the Operational Guidelines as
        reproduced below refers to the test of
        authenticity.
        
                24.
                   ...
                   (b) (i) meet the test of authenticity in design,
                           material, workmanship or setting and in 
                           the case of cultural landscapes their 
                           distinctive character and components (the 
                           Committee stressed the reconstruction is only
                           acceptable if it is carried out on the basis
                           of complete and detailed documentation on the 
                           original and to no extent on conjecture)
                           (UNESCO February 1996: 7).
        
        The text concerning groups of urban buildings included
        in the Operational Guidelines also refers to the need
        to meet the test of authenticity (UNESCO February
        1996: 8, Paragraph 27).
        
        Paragraphs 57 and 58 of the Operational Guidelines
        state that cultural properties nominated for
        inclusion in the World Heritage List should satisfy
        the conditions of authenticity and that the
        determination as to whether these conditions are met will be
        carried out by ICOMOS (UNESCO February 1996: 18).
        
        Paragraph 64 (e) of the Operational Guidelines states
        that ""indications as to the authenticity of the property""
        should be included in the completed nomination form
        under the heading of ""Justification for inclusion in the
        World Heritage List"" (UNESCO February 1996: 20).
        
        Paragraphs 64 (f) (iv) and 78 of the Operational
        Guidelines refer to the undefined concept of ""historical
        authenticity"" (UNESCO February 1996: 20 and 28).
        
        It is generally acknowledged that the concept of
        authenticity is a vague one and may be subject to
        different cultural and social interpretations. 
        Authenticity and its application in relation to the
        World Heritage Convention was the subject of a
        conference held in Nara, Japan in November 1994 (Nara
        Conference on Authenticity in Relation to the World Heritage
        Convention).  A preparatory workshop was held in Bergen
        in Norway from 31 January to 2 February 1994.  The
        proceedings of the preliminary workshop are published in
        Larson and Marstein (1994).  The Nara Conference
        resulted in the adoption of a declaration known as The
        Nara Document on Authenticity.  The proceedings of the
        Nara Conference and the Nara Document on
        Authenticity are published in Larson (1995).
        
        In March 1996 an Inter-American Symposium on Authenticity in
        the Conservation and Management of Cultural Heritage was held
        in San Antonio Texas, U.S.A.  The Symposium was co-sponsored
        by US/ICOMOS, the Getty Cosnervation Institute and the San
        Antonio Conservation Society.
        
see Conservation, Information sources"
Authorization form,Authorization form,"An authorization form is included as part of the
        nomination form.  On completion of the
        authorization form a States Party agrees to
        allow UNESCO to use photographic materials included as
        part of the nomination, for promotional
        activities.
        
see Nomination form
"
Balance,Balance,"Balance is first referred to in Paragraph 6(iii) of
        the Operational Guidelines with reference to efforts
        to maintain a ""reasonable balance between the numbers of
        cultural heritage and the natural heritage properties""
        included in the World Heritage List.  This statement
        is reaffirmed in Paragraph 15 of the Operational
        Guidelines (UNESCO February 1996: 2, 3 and 5) and is in
        conformity with the spirit of the Convention as an
        instrument for the conservation of both the natural and the
        cultural heritage.
        
        In the section of the Operational Guidelines concerned
        with the granting of international assistance,
        Paragraph 111 states that a ""balance will be maintained
        between funds allocated to projects for the preservation of
        the cultural heritage on the one hand and projects for the
        conservation of the natural heritage on the other hand""
        (UNESCO February 1996: 38).
        
        Section VI of the Operational Guidelines is entitled
        ""Balance between the Cultural and the Natural Heritage in the
        Implementation of the Convention"" (UNESCO February 1996: 40-
        41).  Paragraph 121 outlines a number of measures recommended
        by the Committee to achieve this balance
        (UNESCO February 1996: 40-41).
        
        The balance between the numbers of natural and
        cultural properties inscribed in the World
        Heritage List was the subject of discussion at the March
        1996 ""Expert Meeting on Evaluation of general principles and
        criteria for nominations of natural World Heritage sites""
        (UNESCO 15 April 1996).  The report of the Expert Meeting
        notes that """"balance"" is not about numbers, but about
        representativity for biogeographical regions or events in the
        history of life"" (UNESCO 15 April 1996: 6).  The World
        Heritage Bureau and Committee will consider the substance of
        the report of the Expert Meeting at their twentieth sessions
        in 1996."
Biogeographic(al) provinces,Biogeographic(al) provinces,"In the Operational Guidelines, biogeographic(al)
        provinces are suggested as an appropriate comparative
        unit for grouping similar natural properties when
        preparing tentative lists (Paragraph 8), for
        nominating a series of natural properties for
        nomination to the World Heritage List
        (Paragraph 19(iii)) and for IUCN when preparing
        relative evaluations of natural properties
        (Paragraph 60) (UNESCO February 1996: 6 and 18)."
Buffer zone,Buffer zone,"Paragraph 17 of the Operational Guidelines defines a
        buffer zone as:
        
                ... an area surrounding the property which has
                restrictions placed on its use to give an added layer of
                protection; the area constituting the buffer zone should
                be determined in each case through technical studies
                (UNESCO February 1996: 5).
        
        Paragraph 17 of the Operational Guidelines further
        states that:
        
                Whenever necessary for the proper conservation of a
                cultural or natural property nominated, an adequate
                ""buffer zone"" around a property should be provided and
                should be afforded the necessary protection ... Details
                on the size, characteristics and authorized uses of a
                buffer zone, as well as a map indicating its precise
                boundaries, should be provided in the nomination file
                relating to the property in question (UNESCO February
                1996: 5)."
Bureau,Bureau,see World Heritage Bureau
Canal,Canal,"In September 1994 a meeting on ""Heritage Canals"" was held at
        Chaffeys Lock, Ontario, Canada.  The expert meeting defined a
        canal as:
                
                ... a human-engineered waterway.  It may be of
                outstanding universal value from the point of view of
                history or technology, either intrinsically or as an
                exceptional example representative of this category of
                cultural property.  The canal may be a monumental work,
                the defining features of a linear cultural landscape, or
                an integral component of a complex cultural landscape
                (von Droste et al 1995: 433, Annex III).

see Cultural landscape"
Centre,Centre,"see UNESCO World Heritage Centre, Secretariat"
Clearly defined landscape,Clearly defined landscape,"Clearly defined landscape

        Clearly defined landscape is one of the three main
        categories of cultural landscapes adopted by the
        World Heritage Committee at its sixteenth session in
        December 1992 (UNESCO 14 December 1992: 54-55) and included
        in the Operational Guidelines (UNESCO February 1996:
        11, Paragraph 39).
        
        Paragraph 39 (i) of the Operational Guidelines refers
        to clearly defined landscapes in the following way:
        
                39.
                
                (i)  The most easily identifiable is the clearly defined
                     landscape designed and created intentionally by man.  
                     This embraces garden and parkland landscapes constructed 
                     for aesthetic reasons which are often (but not always) 
                     associated with religious or other monumental buildings 
                     and ensembles (UNESCO February 1996: 11)."
CNPPA,CNPPA,"The CNPPA (Commission on National Parks and Protected
        Areas) is one of the six voluntary Commissions of
        IUCN - The World Conservation Union.  The
        CNPPA is the largest worldwide network of protected
        area managers and specialists.  The CNPPA mission is
        to promote the establishment and effective management of a
        worldwide network of terrestrial and marine protected areas.

see IUCN, IUCN evaluation"
