Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
A-Weighted,Safety Manual,An adjustment to sound level measurements that reflects the sensitivity of the human ear. Used for evaluating continuous or average noise levels. Decibels measured using the A-weighted scale are abbreviated to 'dB'.,,,,,,A
Abandoned Facilities,Utilities Manual,"Those facilities located within WSDOT right of way, on an easement or other property right of the utility, that remain in the right of way after the utility has given the state a quitclaim deed to the property right. The utility is no longer responsible for the facility, and all costs for future impacts created by the facility are now borne by the state.",,,,,,A
Abatement,Environment Manual,Reduction in degree or intensity.,,,,,,A
Above Standard,Prime Contractor Performance Report Manual,An above standard range of performance extends from standard to the lower range of superior. It extends beyond merely adequate or acceptable to a point verging on superior. It exceeds the quality of performance usually anticipated in this type of project work.,,,,,,A
Accelerate-Stop Distance Available (ASDA),State-Managed Airport Handbook,The runway plus stopway (SWY) length declared available and suitable for the acceleration and deceleration of an airplane aborting a takeoff.,,,Declared Distances,,,A
accelerated bridge construction,Terminal Design Manual,"A type of project delivery in which pre-fabricated structural elements are constructed offsite and delivered to the project site for installation. Offsite construction allows for greater productivity, efficiency, and quality control than infield construction, thereby reducing overall construction time and cost.",,,,,,a
accelerated climax plant community,Roadside Manual,The process of restoring a site to a desirable climax plant community in reduced time when compared to natural processes,,,,,,a
Acceptance of Assignment,Utilities Manual,See Transfer of Ownership,,Transfer of Ownership,,,,A
access,Desgin Manual,"A means of entering or leaving a public road, street, or highway with respect to abutting property or another public road, street, or highway.",break,,,,,a
access break (Design),Desgin Manual,"Any point from inside or outside the state limited access right of way limited access hachures that crosses over, under, or physically through the plane of the limited access, is an access break or “break in access,” including, but not limited to, locked gates and temporary construction access breaks.",,,,,,a
access break (Utilities),Utilities Manual,"Creation of an ingress or egress point at a location other than a designated interchange or intersection, such as the construction or installation of a utility",,,,,,a
access connection,Desgin Manual,"An access point, other than a public road/street, that permits access to or from a managed access highway on the state highway system.",,,,,,a
access connection permit,Desgin Manual,A written authorization issued by the permitting authority for a specifically designed access connection to a managed access highway at a specific location; for a specific type and intensity of property use; and for a specific volume of traffic for the access connection based on the final stage of the development of the applicant’s property. The actual form used for this authorization is determined by the permitting authority.,,,,,,a
access control,Desgin Manual,The limiting and regulating of public and private access to Washington State’s highways as required by state law.,,,,,,a
access control,Right of Way Manual,The limiting and regulating of public and private access to Washington State’s highways as required by state law.,,,,,,a
Access Control Tracking System Limited Access and Managed Access Master Plan (Design),Desgin Manual,"A database list, related to highway route numbers and mileposts, that identifies either the level of limited access or the class of managed access: www.wsdot.wa.gov/design/accessandhearings",,,,,Access Control Tracking System Limited Access and Managed Access Master Plan (Utilities),A
Access Control Tracking System Limited Access and Managed Access Master Plan (Utilities),Utilities Manual,"A database system used to determine the access level of highway right of way and identify existing approach rights, which is managed by the HQ Design Office, Access and Hearings Section.",,,,,Access Control Tracking System Limited Access and Managed Access Master Plan (Design),A
access density,Desgin Manual,the number of access points (driveways) per mile.,,,,,,a
access design analysis,Desgin Manual,"A design analysis (see Design Manual Chapter 300) that authorizes deferring or staging acquisition of limited access control, falling short of a 300-foot requirement, or allowing an existing access point to stay within 130 feet of an intersection on a limited access highway. Approval by the Director & State Design Engineer, Development Division, or designee, is required (see Design Manual Chapter 530).",,,,,,a
access hearing plan,Desgin Manual,A limited access plan prepared for presentation at an access hearing.,,,,,,a
access management,Desgin Manual,"The programmatic control of the location, spacing, design, and operation of driveways, median openings, interchanges, and street connections to a roadway.",,,,,,a
access point,Desgin Manual,"Any point that allows private or public entrance to or exit from the traveled way of a state highway, including “locked gate” access and maintenance access points.",,,,,,a
access point revision,Desgin Manual,A new access point or a revision of an existing interchange/ intersection configuration. Locked gates and temporary construction breaks are also access point revisions.,,,,,,a
access point spacing,Desgin Manual,"On a managed access highway, the distance between two adjacent access points on one side of the highway, measured along the edge of the traveled way from one access point to the next (see also corner clearance).",,,,,corner clearance,a
access report plan,Desgin Manual,A limited access plan prepared for presentation to local governmental officials at preliminary meetings before preparation of the access hearing plan.,,,,,,a
access rights,Desgin Manual,Property rights that allow an abutting property owner to enter and leave the public roadway system.,,,,,,a
accessible,Design Manual: ADA/Pedestrian Supplement,Usable by persons with disabilities (ADA compliant).,,,,,,a
accessible,Terminal Design Manual,Usable by persons with disabilities (ADA compliant).,,,,,,a
accessible pedestrian signal (APS),Design Manual: ADA/Pedestrian Supplement,"A device that communicates information about the “WALK” phase in audible and vibrotactile (vibrating surface that communicates information through touch, located on the accessible pedestrian signal button) formats.",,,,,,a
accessible pedestrian signal (APS),Terminal Design Manual,"A device that communicates information about the “WALK” phase in audible and vibrotactile (vibrating surface that communicates information through touch, located on the accessible pedestrian signal button) formats.",,,,,,a
accessible route,Design Manual: ADA/Pedestrian Supplement,See pedestrian access route.,,pedestrian access route (PAR),,,,a
accessible route,Terminal Design Manual,See pedestrian access route.,,pedestrian access route (PAR),,,,a
accessible route of travel,Roadside Manual,This is defined in the Washington Administrative Code (WAC) 51-40 as “a continuous unobstructed path connecting all accessible elements and spaces in an accessible building or facility that can be negotiated by a person using a wheel chair and that is usable by persons with other disabilities.”,,,,,,a
Accident Investigator,Safety Manual,"The supervisor or person in charge of the involved employee who performs the accident investigation. Depending on the seriousness and complexity of the accident, safety staff at the region, Ferries Division or Headquarters Safety and Health Services may assist in or conduct the accident investigation. In the case of a fatality or multiple injuries, the Department of Labor and Industries will conduct an additional parallel investigation.",,,,,,A
Accident Reviewer,Safety Manual,The next-level manager or other manager to whom the accident investigator is a direct report. The reviewer is typically in the same organization as the involved employee and the investigator. May also be specifically appointed by the Region Administrator.,,,,,,A
Acclimatization,Safety Manual,the body's temporary adaptation to work in heat that occurs as a person is exposed to it over time.,,,,,,A
Accommodation Application,Utilities Manual,"An application submitted by a utility, or a utility’s agent working on behalf of the utility, requesting permission to install a utility within the operating highway right of way.",,,,,,A
Accommodation Document,Utilities Manual,"A generic term denoting a utility franchise, Franchise Amendment, Franchise Renewal, Franchise Consolidation, or permit. Accommodation documents are legal and binding agreements between the utility and WSDOT that describe in detail the terms and conditions under which a utility organization will be allowed to install a utility within the operating highway right of way",,,,,,A
Accommodation Process,Utilities Manual,"The process of receiving, reviewing, approving, inspecting, and accepting a utility installation",,,,,,A
Acquired,Right of Way Manual,"For the purpose of Right of Way Manual Chapter 12 – Relocation Assistance, “acquired” means WSDOT obtained legal possession of the real property. The date of such possession is the date on which final payment for the property is made available to the owner(s) or to the court. Where WSDOT has obtained early possession under a Possession and Use Agreement, legal possession is the time specified in the pertinent document or, if not specified in such document, upon making payment as required by such document.",,,,,,A
Acquired Dwelling Unit,Right of Way Manual,The portion of the lands acquired for a public works project that includes all improvements of a residential nature serving the displaced person.,,,,,,A
acquisition (Consultant Services),Consultant Services Manual,"The acquiring by contract, with appropriated funds, services (including construction) by and for the use of the government through purchase, whether the services are already in existence or must be created, developed, demonstrated, and evaluated. Acquisition begins at the point when agency needs are established and includes the description of requirements to satisfy agency needs; solicitation and selection of sources; award of contracts; contract financing; contract performance; contract administration; and those technical and management functions directly related to the process of fulfilling agency needs by contract.",,,,,,a
acquisition (Right of Way),Right of Way Manual,The acquisition of real property in fee or by leasehold interest.,,,,,,a
antecedent moisture conditions,Highway Runoff Manual,The degree of wetness of a watershed or the soil at the beginning of a storm.,,,,,,a
Acquisition Cost,Right of Way Manual,"For the purpose of computing replacement housing payments, the “acquisition cost” is the cost WSDOT pays for the property acquired. The amount is determined from the Real Property Voucher. The amount of any administrative settlement is included and remains a part of the final settlement. Any amount paid by the displaced person for salvage rights is considered an expenditure by the displaced person toward the purchase of replacement housing. The amount of the “final settlement” in the case of a donation is considered to be fair market value. For court award cases or cases involving an administrative settlement, the amount of the just compensation is analyzed to determine acquisition cost.",,,,,,A
acquisition planning,Consultant Services Manual,The process by which the efforts of all personnel responsible for an acquisition are coordinated and integrated through a comprehensive plan for fulfilling the agency’s need in a timely manner and at a reasonable cost. It includes developing the overall strategy for managing the acquisition.,,,,,,a
Action Level (Environmental Health and Safety),Environmental Health and Safety Manual,"A concentration of a specific substance calculated as an 8-hour TWA, which initiates certain required activities as designated in WAC 296- 62.",,,,,,A
Action Level (Safety),Safety Manual,Thirty micrograms of lead per cubic meter of air (30 µg/m3) over an 8-hour time weighted average (TWA).,,,,,,A
Active Project,Right of Way Manual,A project where offers have been made to property owners for the acquisition of real property interests.,,,,,,A
Ad and Award,Local Agency Guidelines,Advertising and award of a construction contract. Includes all aspects of contract administration.,,,,,,A
AD Copy,Bridge Inspection Manual,"The AD copy is the contract document advertised to prospective bidders. The AD Copy may include, but not be limited to, the following as component parts: Bid Proposal Form, Special Provisions, Amendments, Plans, and Appendices including test hole boring logs, and environmental permit conditions.",,,,,,A
AD Copy,Summary of Public Transportation,"The AD copy is the contract document advertised to prospective bidders. The AD Copy may include, but not be limited to, the following as component parts: Bid Proposal Form, Special Provisions, Amendments, Plans, and Appendices including test hole boring logs, and environmental permit conditions.",,,,,,A
ADA-Accessible,Summary of Public Transportation,"Meeting the requirements of the Americans with Disabilities Act of 1990, which requires facilities, vehicles, services and certain information materials meet guidelines in order to be available to persons with disabilities.",,,,,,A
ADA (Design),Design Manual: ADA/Pedestrian Supplement,An abbreviation for the Americans with Disabilities Act of 1990. The ADA is a civil rights law that identifies and prohibits discrimination based on disability. Title II of the ADA requires public entities to design new pedestrian facilities or alter existing pedestrian facilities to be accessible to and usable by people with disabilities,,,,,ADA (Local Agency),A
ADA (Design),Design Manual: ADA/Pedestrian Supplement,An abbreviation for the Americans with Disabilities Act of 1990. The ADA is a civil rights law that identifies and prohibits discrimination based on disability. Title II of the ADA requires public entities to design new pedestrian facilities or alter existing pedestrian facilities to be accessible to and usable by people with disabilities,,,,,ADA (Roadside),A
ADA (Local Agency),Local Agency Guidelines,"The Americans with Disabilities Act of 1990 which mandates sweeping changes in building codes, transportation, and hiring practices to prevent discrimination against persons with disabilities, not just in projects involving federal dollars, but all new public places, conveyances, and employers.",,,,,ADA (Design),A
ADA (Local Agency),Local Agency Guidelines,"The Americans with Disabilities Act of 1990 which mandates sweeping changes in building codes, transportation, and hiring practices to prevent discrimination against persons with disabilities, not just in projects involving federal dollars, but all new public places, conveyances, and employers.",,,,,ADA (Roadside),A
ADA (Roadside),Roadside Manual,Americans with Disabilities Act 42 U.S.C. 12201,,,,,ADA (Design),A
ADA (Roadside),Roadside Manual,Americans with Disabilities Act 42 U.S.C. 12201,,,,,ADA (Local Agency),A
adaptive lighting system,Desgin Manual,"A lighting system with a control system connected, allowing for dimming, on/off operation by time of night, and independent scheduling of individual lights for select hours of operation during nighttime hours.",,,,,,a
Addendum,Desgin Manual,"A written or graphic document, issued to all Bidders and identified as an Addendum prior to Bid opening, which modifies or supplements the Bid Documents and becomes a part of the Contract.",,,,,,A
Addendum,Standard Specifications,"A written or graphic document, issued to all Bidders and identified as an Addendum prior to Bid opening, which modifies or supplements the Bid Documents and becomes a part of the Contract.",,,,,,A
Addendum (Utilities),Utilities Manual,"An addendum is any document or plan that revises, modifies, or supplements a previously approved utility accommodation document, becoming part of the approved utility installation",,,,,,A
agreement (contract) closure,Consultant Services Manual,"The process for closing a contract at WSDOT, including closure in WSDOT’s financial system.",,,,,,a
busiest day,Terminal Design Manual,The individual day with the higest total passengers for all sailings.,,,,,,b
adjustment (ramp),Terminal Design Manual,"A change to a facility in the public right of way that affects or could affect access, circulation, or use. Alterations include, but are not limited to, renovation; rehabilitation; reconstruction; historic restoration; resurfacing of circulation paths or vehicular ways; or changes or rearrangement of structural parts or elements of a facility. Alterations do not include: • Spot pavement repair • Liquid-asphalt sealing, chip seal (bituminous surface treatment), or crack sealing • Lane restriping that does not alter the usability of the shoulder",,,,,,a
administrative appeal hearing,Desgin Manual,"A formal process whereby a property owner may appeal WSDOT’s implementation of access management legislation. The appeal is heard by an administrative law judge (ALJ), who renders a decision. (See Design Manual Chapter 540 for administrative appeal hearing procedures.)",,,hearing,,,a
Administrative Offer Summary (AOS),Right of Way Manual,"The approved form used as a basis for offers on low-value, uncomplicated process. Also referred to as a waiver of an appraisal for such properties.",,,,,,A
Administrative Settlement,Local Agency Guidelines,A negotiated settlement of a right of way acquisition case in which the acquiring agency has administratively approved payment in excess of fair market value as shown on the agency's approved determination of value (DV).,,,,,,A
Advance Mitigation,Environment Manual,Compensatory mitigation that is accepted by regulatory authorities as being established before an impact occurs. This is a form of permittee-responsible mitigation.,,,,,,A
advance payment,Consultant Services Manual,Amount paid to WSDOT in advance for work to be performed under a reimbursable (receivable) agreement.,,,,,,a
Adverse Effect,Environment Manual,Occurs when an effect on an historic property diminishes the integrity of the property’s aspects of integrity. See also Determination of Effect.,,,,,Determination of Effect,A
Adverse Possession,Right of Way Manual,"A method of acquiring title to the land of another by actual, open, notorious, continuous, hostile, and exclusive holding of the land for a statutory period. An easement acquired by this method is a “prescriptive easement.” Title reports are often silent on adverse possession; therefore, these rights are determined by actual inspection of the property. To be compensable these rights must be perfected by a court action.",,,,,,A
Advisory Circular (AC),State-Managed Airport Handbook,"A series of FAA publications providing guidance and standards for the design, operation, and performance of aircraft and airport facilities.",,,,,,A
Advisory Council on Historic Preservation,Environment Manual,"An independent federal agency, established under the NHPA, which: (1) advises the President and Congress on matters of historic preservation; (2) carries out Section 106 reviews; and (3) provides technical assistance in historic preservation actions.",,,,,,A
aesthetics,Roadside Manual,"Evaluations and considerations with the sensory quality of resources (sight, sound, smell, taste, and touch) and especially with respect to judgment about their pleasurable qualities.",,,,,,a
Affect (Verb),Environment Manual,Action that may change the character of an historic property.,,,,,,A
Affected Area,Safety Manual,"Means the distance away from the edge of an excavation equal to the depth of the excavation up to a maximum distance of fifteen feet. For example, an excavation ten feet deep has an affected area extending ten feet from the edge of any side of the excavation",,,,,,A
Affected Employee,Safety Manual,"An employee whose who is required to operate, use, or be in the area where a machine or equipment could be locked or tagged out for service or maintenance.",,,,,,A
affidavit of publication,Desgin Manual,A notarized written declaration stating that a notice of hearing (or notice of opportunity for a hearing) was published in the legally prescribed manner.,,,,,,a
affidavit of service by mailing,Desgin Manual,A notarized written declaration stating that the limited access hearing packet was mailed at least 15 days prior to the hearing and entered into the record at the hearing.,,,,,,a
Agency-Force Work,Local Agency Guidelines,"Construction work done by an agency's employees, or by one public agency for another.",,,,,,A
Agency Administrator,Local Agency Guidelines,A local agency official empowered by position or delegated the authority to administer transportation projects.,,,,,,A
